Regional indicator,Ladder score,Jitter
South Asia,4.441857142857143,0
Sub-Saharan Africa,4.494472222222223,1
Commonwealth of Independent States,5.467000000000001,2
Southeast Asia,5.407555555555556,3
East Asia,5.810333333333333,4
Central and Eastern Europe,5.9847647058823545,5
Latin America and Caribbean,5.908049999999999,6
Middle East and North Africa,5.219764705882353,7
North America and ANZ,7.128500000000001,8
Western Europe,6.914904761904763,9
